,mean,std,min,25%,50%,75%,max
Age at enrollment,23.265144665461122,7.587815615029815,17.0,19.0,20.0,25.0,70.0
Application order,1.7278481012658229,1.313793078362206,0.0,1.0,1.0,2.0,9.0
Previous qualification (grade),132.6133137432188,13.188331685876213,95.0,125.0,133.1,140.0,190.0
Admission grade,126.97811934900544,14.482000818849468,95.0,117.9,126.1,134.8,190.0
Inflation rate,1.228028933092224,1.3827106915401126,-0.8,0.3,1.4,2.6,3.7
Unemployment rate,11.56613924050633,2.6638504843026354,7.6,9.4,11.1,13.9,16.2
GDP,0.001968806509945778,2.2699354412537676,-4.06,-1.7,0.32,1.79,3.51
Curricular units 1st sem (credited),0.7099909584086799,2.3605066191181976,0.0,0.0,0.0,0.0,20.0
Curricular units 1st sem (enrolled),6.2705696202531644,2.480178175307158,0.0,5.0,6.0,7.0,26.0
Curricular units 1st sem (evaluations),8.299050632911392,4.179105569144036,0.0,6.0,8.0,10.0,45.0
Curricular units 1st sem (approved),4.706600361663653,3.094237979693975,0.0,3.0,5.0,6.0,26.0
Curricular units 1st sem (grade),10.640821575178572,4.843663380671798,0.0,11.0,12.28571429,13.4,18.875
Curricular units 1st sem (without evaluations),0.13765822784810128,0.6908801837297979,0.0,0.0,0.0,0.0,12.0
Curricular units 2nd sem (credited),0.5418173598553345,1.9185461437101994,0.0,0.0,0.0,0.0,19.0
Curricular units 2nd sem (enrolled),6.232142857142857,2.1959507514632417,0.0,5.0,6.0,7.0,23.0
Curricular units 2nd sem (evaluations),8.063291139240507,3.94795094143741,0.0,6.0,8.0,10.0,33.0
Curricular units 2nd sem (approved),4.435804701627487,3.014763902385539,0.0,2.0,5.0,6.0,20.0
Curricular units 2nd sem (grade),10.230205722719258,5.210807954658554,0.0,10.75,12.2,13.33333333,18.57142857
Curricular units 2nd sem (without evaluations),0.15031645569620253,0.7537740685130098,0.0,0.0,0.0,0.0,12.0
